texte,AVIS,RECLAMATION,SUGGESTION,EXPERIENCE,source,valide_humain
Pas mal / plus complet que runtastic / dépendance à la montre GPS,1,0,0,0,dataset_apia2022,1
Excellent,1,0,0,0,dataset_apia2022,1
Geniale,1,0,0,0,dataset_apia2022,1
L'application ne garde pas en mémoire le couplage entre la montre et mon téléphone dès que la montre se déconnecte. Merci de corriger celà.,0,1,0,0,dataset_apia2022,1
Utile pour progresser,0,0,0,1,dataset_apia2022,1
"Beug beug beug!!!Ma montre vibre tous les ¼ d'heure pour m'indiquer la connexion avec mon téléphone...je n'ai plus l'activité sommeil.... Je ne vois plus les défis qu'on me lance, je ne reçois plus les notifications de mon tél sur ma montre comme les sms.... Le problème vient de l'appli ? De ma montre ?? Des 2?? Une cata, alors que ya une dizaine de jours tout allait bien ....",0,1,0,0,dataset_apia2022,1
Super montre ⌚ mais depuis la nouvelle mise à jour je ne reçois plus les notifications sur ma montre garmin forerunner 35 😭😭😭😭,1,1,0,0,dataset_apia2022,1
Nickel,1,0,0,0,dataset_apia2022,1
L'application est top mais surtout Garmin est la Rolls-Royce des montres sportives. Merci pour toutes les données que nous pouvons retrouver grâce a vos produits. 10 étoiles sur 5 !!!!!,1,0,0,1,dataset_apia2022,1
Garmin 230 au top! Connexion ultra rapide parfaite pour moi,1,0,0,1,dataset_apia2022,1
Excellente application .,1,0,0,0,dataset_apia2022,1
superbe application très juste,1,0,0,0,dataset_apia2022,1
Excellent efficace rapide clair,1,0,0,0,dataset_apia2022,1
Les activités cyclisme sont cumulées avec celles de la course à pied. L'affichage des km mensuel est faussé,0,1,0,0,dataset_apia2022,1
"J'ai acheté cette montre depuis 1 mois. Le suivi est très bon. Pas de 
problème de connexion. L'analyse du suivi d'activité est pas mal. Je 
conseille ce produit.",1,0,0,1,dataset_apia2022,1
"Fonctionne très bien. Est associée à une Forunner 45. Parfaitement stable. Demande quelques jours de tâtonnement pour une bonne prise en main. L'application est en effet complexe dans la mesure où elle offre un grand nombre de possibilités. Idéale pour suivre les entraînements, retrouver toutes les stats, cartes Google maps avec tracé de parcours réalisé, etc.",1,0,0,1,dataset_apia2022,1
Appli complète et stimulante.,1,0,0,0,dataset_apia2022,1
Garmin fait partis des meilleurs équipements connectés au monde!,1,0,0,0,dataset_apia2022,1
Problème de Bluetooth avec Huawei. Se déconnecte si appli fermée...,0,1,0,0,dataset_apia2022,1
"Bonne application dans l'ensemble mais dans les équipements il manque l'option ""trail"" ""vtt"", ""ski "" , ""ski de randonnée "" , ""ski de fond"" car lorsque l'on fait plusieurs activités différente on doit a chaque fois changer l'équipement de base. Donc merci de rajouter ces options.",1,0,1,0,dataset_apia2022,1
Top,1,0,0,0,dataset_apia2022,1
Très bien !,1,0,0,0,dataset_apia2022,1
"Déçue depuis quelques temps d'avoir une vulgaire montre qui donne juste l'heure. Fini les notifications.... Toujours le même blabla ""les notifications Android se sont arrêtées de façon inattendue. Pour restaurer les notifications sur Garmin, il suffit de redémarrer mon téléphone ..."" Ça se saurait si cela fonctionnait !!!!! Je suis déçue par cette montre qui fonctionnait bien il y a encore 4 mois. Réfléchissez avant d'acheter Garmin !!!! Obligée de mettre une étoile, 0 c'est impossible 🤬",1,1,0,0,dataset_apia2022,1
"Cela fait déjà 5 mois que j'ai acheté ma vivosmart HR et je l'ai connecté en premier à mon wiko ridge, puis à mon Huawei P9 et aucun soucis avec ces deux téléphones. L'application marche niquel. Enjoy",1,0,0,1,dataset_apia2022,1
"De nombreuses données à disposition (trop peut être), facile à utiliser, j'en suis très content.",1,0,0,1,dataset_apia2022,1
"Aucun problème pendant 1 année ! Mais depuis 1mois voire un peu plus, très difficile de synchroniser la montre avec l'application. Il faut sans cesse désinstaller l'application, éteindre la montre et parfois sans succès. En cliquant sur mes paramètres Bluetooth, mon smartphone m'indique que pour me connecter une application est requise ( AH BON?) A CORRIGER RAPIDEMENT SVP",0,1,0,0,dataset_apia2022,1
"Bonne application quand elle fonctionne. Mais la stabilité est atroce, déconnexions intempestives, impossible de communiquer avec le serveur, et j'en passe... Vraiment dommage car les produits Garmin sont de qualité. Mais si l'applicatif ne suit pas, ça perd une bonne partie de son intérêt. Je ne recommande pas Garmin à cause de ça.",1,1,0,0,dataset_apia2022,1
"Agréablement surpris par cette application, je recommande !",1,0,0,0,dataset_apia2022,1
"Incompatible avec Huawei P10 lite !!! Cela fonctionnait nickel avec mon ancien Oneplus One, je suis hyper déçu (d'autant plus que ce modèle ne figure pas dans la liste des téléphones à  problèmes chez Garmin) Le support à été très succin, et propose de faire la synchronisation avec un PC, on ce moque du monde !!! ; même pas sur que le pb est été remonté à l'ingénierie... Je n'ai plus qu' à mettre ma montre à 150€ vivosmart3 dans un tiroir !!!!!!",1,1,0,0,dataset_apia2022,1
magnifique expérience,1,0,0,0,dataset_apia2022,1
Wow,1,0,0,0,dataset_apia2022,1
"Pour moi nickel, reste quelques petites options à retoucher : miles/km, les programmes d'entraînements non pris en compte par la montre, mais agréablement content par l'ensemble. Donc 4 étoiles. 🦿🦾",1,0,1,0,dataset_apia2022,1
Très bien pour un amateur.,1,0,0,0,dataset_apia2022,1
Est-ce que le capteur de vitesse et cadence GARMIN 2 est compatible avec l'application TACX TRAINING ?,0,1,0,0,dataset_apia2022,1
J adore . Ca motive,1,0,0,0,dataset_apia2022,1
"Super appli mais impossible de connecter ma Fenix 3 depuis 5 jours. A priori le souci est souvent signalé ces derniers jours, merci de faire quelque chose. Sportivement",1,1,0,0,dataset_apia2022,1
application complete et facile 👍,1,0,0,0,dataset_apia2022,1
TOP!!!,1,0,0,0,dataset_apia2022,1
Très content jusque il y a 3 mois depuis la mise à jour il n'y a plus de synchronisation avec mon huawei p-9 Lite... Rien ne marche plus donc sur l'application!  13/1 : toujours aucune synchronisation entre les mon p9 lite et ma montre...  14/1 : nouvelle MAJ et toujours rien 2/2. Mise à jour 4.0 et ca ne fonctionne toujours pas. Aucune synchronisation possible...,1,1,0,0,dataset_apia2022,1
Superbe!,1,0,0,0,dataset_apia2022,1
Depuis la dernière mise à jour je n'arrive plus à transférer mes parcours de l'application Garmin connect vers mon Edge 1000😤,0,1,0,0,dataset_apia2022,1
J'adore,1,0,0,0,dataset_apia2022,1
J'utilise l'application depuis plusieurs années et celle ci fonctionne de mieux en mieux car elle prend de plus en plus de fonctionnalités.👍👍👍,1,0,0,1,dataset_apia2022,1
je télécharge l'application mais je n'arrive ni a me connecter a mon compt ni a creer un nouveau compt . de l'aide svp.,0,1,0,0,dataset_apia2022,1
Impossible de se connecter s6 edge plus,0,1,0,0,dataset_apia2022,1
Parfait..... Quels rares bugs.....,1,1,0,0,dataset_apia2022,1
"J'avais mis 4 étoiles mais depuis la dernière mise à jour plus rien ne fonctionne. Je perds les notifications sur ma montre après 2-3 jours, je n'ai plus que les appels. Obligé de désinstaller et réinstaller et encore ça ne fonctionne pas à tout les coups. Je sais que ça ne fonctionnera plus dès que j'ai la notification Garmin device qui est impossible à enlever...",1,1,0,0,dataset_apia2022,1
Super,1,0,0,0,dataset_apia2022,1
Très bonne application complète,1,0,0,0,dataset_apia2022,1
Je découvre suite à l'achat d'une fenix 5S plus et je suis satisfait des données que je peux consulter via l'application.,0,0,0,1,dataset_apia2022,1
"Impossible de créer un compte, je ne peux pas rentrer mes données",0,1,0,1,dataset_apia2022,1
"Permet de bien connaître ces stats et apprendre a se connaître. Surtout pour la course, très pratique pour les parcours et navigation et entraînement.",0,0,0,1,dataset_apia2022,1
Rien à dire marche très bien,1,0,0,0,dataset_apia2022,1
Depuis la dernière mise à jour: - Garmin pay a Sauter impossible de remettre en route il ne détecte pas la montre. - La distance entre la connexion bluetooth de la montre et le téléphone s'est réduite. Il faut que je sois dans la même pièce pour avoir les notifications. Ce n'était pas le cas auparavant. - Les données de la fréquence cardiaque sont fausses. Elles étaient bonnes auparavant. - Déclenchement intempestif de l'auto pause sur un parcours trail que je fais chaque semaine.,0,1,0,0,dataset_apia2022,1
Bon outil mais quelque difficultés pour comprendre au début,1,0,0,1,dataset_apia2022,1
Très bonne application!,1,0,0,0,dataset_apia2022,1
Pas mal du tout,1,0,0,0,dataset_apia2022,1
j adore,1,0,0,0,dataset_apia2022,1
Sauf erreur impossible de répondre aux Sms par la montre depuis la nouvelle version,0,1,0,0,dataset_apia2022,1
"Addictive... Mais pour la natation, elle ne suis pas ☺️",1,0,0,1,dataset_apia2022,1
"J'avais mis une appréciation positive mais depuis quelques semaines, la synchronisation pose problème et c'est pénible",1,1,0,0,dataset_apia2022,1
"Toujours aussi fiable et complet. Cela fait plus de 4 ans que j'utilise cette application, et celle-ci m'a aider au quotidien à prendre davantage soin de mon corps et donc de mon esprit. Les suivis sont de plus en plus détaillés et complets, je la considère comme un vrai plus pour suivre mes évolutions et mes compétences",1,0,0,1,dataset_apia2022,1
super appli,1,0,0,0,dataset_apia2022,1
"Super, Pas facile à prendre en main au départ mais une fois ce cap passé l'appli est top",1,0,0,1,dataset_apia2022,1
experience ok,1,0,0,0,dataset_apia2022,1
"Application très intuitive, permet un excellent suivi de nos activités mais pas seulement vu que l'on peut également suivre nos menstruation ( pour nous les dames), mais également beaucoup d'autres points, comme l'usure de nos chaussures, notre conso d'eau... Vraiment un super ouitil",1,0,0,1,dataset_apia2022,1
"Depuis la mise à jour vers 4.0 pour la vivoactive 4, ma batterie se vide en moins d'une demie journée !! Merci de vite régler le problème !! Ma montre étant mon réveil, je ne peux pas faire sans. Sinon merci de nous expliquer comment revenir à la version 3.8",0,1,0,1,dataset_apia2022,1
"Simple et efficace, l'application correspond amplement à mes attentes 👏 !",1,0,0,0,dataset_apia2022,1
Très chouette appli pour ceux qui aiment suivre de près leurs activités quotidienne.,1,0,0,1,dataset_apia2022,1
"Simple d'utilisation, application complète et fluide.",1,0,0,0,dataset_apia2022,1
Dommage que des activités comme la natation ne soient pas mieux gérer...,0,0,1,0,dataset_apia2022,1
"Bonne appli, synchroniser avec mon Xperia Xz1 parfaitement",1,0,0,1,dataset_apia2022,1
Application plutôt complète et facile d'utilisation,1,0,0,0,dataset_apia2022,1
"Très bonne application, mais je n'arrive pas à changer les miles en 
kilomètres ce qui fausse un peu mes résultats !",1,1,0,0,dataset_apia2022,1
Facile à utiliser j adore cette appli,1,0,0,0,dataset_apia2022,1
Très contente de mon cadeau d'anniversaire. Je suis très visuelle..alors je cherche sur YouTube tout les belles choses que ma montre peux m'offrir. Jai Tellement de belle découverte a faire. Bonne journée,1,0,0,0,dataset_apia2022,1
Tout est rentré dans l'ordre depuis la dernière maj.,1,0,0,0,dataset_apia2022,1
Ok good,1,0,0,0,dataset_apia2022,1
"Connecté à une forerunner 235, fonctionne super bien !",0,0,0,1,dataset_apia2022,1
C l'fun,1,0,0,0,dataset_apia2022,1
Enfin je peux utiliser pleinement ma montre avec mon portable ! Le problème semble réglé ! Très bon produit quand tout fonctionne surtout la fonction training effets !,1,0,0,1,dataset_apia2022,1
"Je ne connaissais que le portail Garmin connect sur internet, l'appli est très sympa, les présentations plus fun et c'est très complet.",1,0,0,1,dataset_apia2022,1
"Ce serait cool de pouvoir faire des défis de minutes ""intensives"" car actuellement, les défi n'encouragent pas le multisport!",0,0,1,0,dataset_apia2022,1
tres bonne application,1,0,0,0,dataset_apia2022,1
1ère expérience. Très concluante. Facile à gérer.,1,0,0,0,dataset_apia2022,1
"Bonjour. Depuis les dernières mises à jour, je rencontre un problème lié au live Track sur mon edge 520. Sur le lien, du mail envoyé pour suivre l'activité, il n'y a pas de signal, et donc pas de suivi de l'activité. Merci",0,1,0,0,dataset_apia2022,1
Depuis derniere maj. Le Phone détecte et se connecte à la montre...mais pas l'appli...c'est dommage que l'appli soit le BOULET d'une montre avec plein de possibilités...,0,1,0,0,dataset_apia2022,1
"Avis 2018.L'application fonctionne tres mal en ce moment.Dommage car on s'y attache vite et merite bien cinq étoiles... Vous en etes où pour régler ce bug car sur le site vous dites qu'il n'y a pas de problèmes... pas rassurant. J'étais sur le point d'acheter un GPS et accessoires pour le vtt ,je vais attendre car votre réactivité n'invite pas a la confiance de vos produits. A bon entendeur. Avis 2020,l'application fonctionne bien,les données sont utiles.Plus de bug ,MERCI.",1,1,0,0,dataset_apia2022,1
parfait pour le moment pas de perte de synchro avec le huawei p20 lite,1,0,0,1,dataset_apia2022,1
"Can pair vivosmart 3 and galaxy a3 2017. Enfin possible de coupler 
vivosmart 3 et galaxy a3 2017",0,1,0,0,dataset_apia2022,1
Je retire tout les commentaires positifs que j'ai laisser.Depuis la mise à jour du 3 Novembre ma montre ne veux plus de connecter avec mon Huawei P9 lite.Résultat ma montre ne me sert à rien 😡.J'ai changé mon téléphone pour un Samsung et maintenant ça fonctionne très bien 👍,0,1,0,1,dataset_apia2022,1
précise et élégante !,1,0,0,0,dataset_apia2022,1
Excellente application,1,0,0,0,dataset_apia2022,1
C'est le fun de pouvoir analyser nos performances sur différents parcours.,0,0,0,1,dataset_apia2022,1
"L'application est très bien sauf que depuis la dernière mise à jour, il m'est impossible de synchroniser ma Forerunner 935 avec mon smartphone Huawei P20 Lite. Heureusement que cette mise à jour était censé régler les problèmes de synchronisation avec le téléphones Huawei !!! J'espère que Garmin va vite régler ce problème car sinon elle n'a aucune utilité. Problème réglé ! 👍",1,1,0,0,dataset_apia2022,1
très bon support.,1,0,0,0,dataset_apia2022,1
Depuis les dernières mises à jour impossible de faire un LiveTrack. On le lance et il se coupe tout seul tout de suite après. Il a fallu revenir à la version 4.22.1 car les MAJ en téléchargement sont incomplètes pour une installation totale (34 Mo contre 120 Mo normalement). C'est très regretable de devoir régresser de la sorte. Un conseil : changez de développeurs car ils ne sont vraiment pas bons !...,1,1,0,0,dataset_apia2022,1
La FR 410 n'est pas supportée,0,1,0,0,dataset_apia2022,1
"Stop pretending to do what you CAN'T do : remove epix from supported 
devices.",0,0,1,0,dataset_apia2022,1
Claire et complète,1,0,0,0,dataset_apia2022,1
"Nul. Pas de synchronisation avec les 2 téléphones!!! La prochaine fois, j'achète sur Wish. Garmin...vraiment pas bon!",1,1,0,0,dataset_apia2022,1
Application très complète pour suivre son entraînement dans la durée.  La synchronisation avec ma 620 est parfaite. Un point que j'aimerais voir amélioré: calcul automatique du temps moyen réalisé sur fractionné,1,0,1,1,dataset_apia2022,1
super détaillé,1,0,0,0,dataset_apia2022,1
Je suis suis dans l'impossibilité de me connecter à mon compte via l'application sur mon Huawei P20 Pro. J'obtiens un message d'erreur java.lang.exception: 401. J'ai essayer avec un IPhone 7 même résultat connexion au serveur impossible. J'aurais besoin d'une solution car je viens de faire l'acquisition d'une fenix 6 et ne suis donc pas en mesure de l'associer à mon téléphone. Merci par avance.,0,1,0,0,dataset_apia2022,1
Doesn't detect my vivofit! !,0,1,0,0,dataset_apia2022,1
"Très bien, facile et intuitif",1,0,0,0,dataset_apia2022,1
Impossible de connecter mon vivosmart hr+ sur mon honor 8 pro alors que sur galaxy A5 ça se connecte en 30 secondes,0,1,0,1,dataset_apia2022,1
Synchronisation efficace,0,0,0,1,dataset_apia2022,1
Très bonne appli,1,0,0,0,dataset_apia2022,1
J ai pas  trouvé pour mettre en kilomètre heure   snifff,0,0,1,0,dataset_apia2022,1
Parfait,1,0,0,0,dataset_apia2022,1
Compagnion indispensable. THE COACH. Nickel avec GARMIN MONTRE GPS FENIX 3 SAPPHIRE HR,1,0,0,1,dataset_apia2022,1
Depuis la dernière mise à jour mon Garmin edge 510 ne communique plus avec l'application ?😩👎,0,1,0,0,dataset_apia2022,1
Au top,1,0,0,0,dataset_apia2022,1
Bonjour. Au lieu de vous murer dans le silence ou plutôt tromper les utilisateurs en cachant votre problème de piratage par un argument maintenance vous feriez mieux de rendre accessibles nos données directement sur les montres ce serait beaucoup plus simple. Marre d'acheter des appareils et de devoir se connecter sur d'autres supports ! A quand le rétablissement du site ?,0,1,1,0,dataset_apia2022,1
Couplage impossible avec  Galaxy S7   reconnait la montre 235 de Garmin mais ne veux pas  se coupler...,0,1,0,0,dataset_apia2022,1
"Un plantage lors d'une synchronisation, pour le reste ça fait le job !",0,1,0,0,dataset_apia2022,1
"Elle marchait bien,et depuis 3 jours p'us rien je n'arrive meme plus a connecter",1,1,0,0,dataset_apia2022,1
Super application,1,0,0,0,dataset_apia2022,1
"Affichage des résultats en cardio sans le demander, en allure et non pas en km/h.",0,0,0,1,dataset_apia2022,1
"Gratuit et très complet, que demander de plus😊",1,0,0,0,dataset_apia2022,1
Super pour garder la forme,0,0,0,1,dataset_apia2022,1
A chaque mise à jour son lot de soucis...,0,1,0,0,dataset_apia2022,1
"I hate the new update. I can't see my total for the current month or the totals for previous months anymore, so I have to add up week by week to see if I am meeting my goals for the month. Please bring that feature back!",0,0,1,1,dataset_apia2022,1
Très motivante,1,0,0,0,dataset_apia2022,1
"Ce suivi avec ma montre est excellent. Le GPS est ultra précis. Le suivi du sommeil, de l'hydratation, des activités, etc. Les messages d'encouragement, les badges etc. C'est plaisant",1,0,0,1,dataset_apia2022,1
"Comme certain, impossible de connecter ma montre Garmin instinct depuis la nouvelle mise à jour de mon téléphone en décembre. Connectée/Déconnectée toute la journée. Du coup, la batterie est à plat au bout de 2 jours. Il va falloir que je change de téléphone ? Pas bien envie (redmi note 8T) Et aujourd'hui, le 04/02/22, nouvelle mise à jour et la montre est en anglais sans pouvoir changer la langue. Vraiment déçu, alors que tout allait bien avant ces deux mises à jour",1,1,0,0,dataset_apia2022,1
Impossible de synchroniser les activités depuis la dernière mise à jour garmin faites vîte qq chose ou je change de marque,0,1,0,0,dataset_apia2022,1
"Top pour suivre ses efforts, enregistrer ses parcours, voir la progression de session en session. Simple et efficace",0,0,0,1,dataset_apia2022,1
"Donc si je comprends bien, voila + 2 ans que j'ai ma montre avec mon tel et suite a votre mise a jour.....subitement min tel nest plus compatible avec ma montre. C'est une blague j'espère !! Si non, remboursez moi !!!!!!",0,1,0,0,dataset_apia2022,1
Très bonne application avec beaucoup d'informations.,1,0,0,0,dataset_apia2022,1
"Depuis la dernière mise a jour, impossible d'associer et de synchroniser ma montre fenix 5plus sur honor 6x",0,1,0,0,dataset_apia2022,1
"Depuis la dernière mise à jour je n'arrive plus à couplé ma montre avec mon téléphone (LG G4) ainsi qu'avec ma tablette, faudrait vraiment revoir cette mise à jour qui bloque touts le monde",0,1,0,0,dataset_apia2022,1
"depuis la dernière mise à jour, n'affiche plus que le résumé d'une activité, impossible de visualiser les étapes, circuits et données détaillées.",0,1,0,0,dataset_apia2022,1
"Super application, pour tousvles sports: natation, velo, course à pied...",1,0,0,0,dataset_apia2022,1
"Couplage impossible de ma Forerunner 230 depuis ce 8/11. Le numéro change en permanence. Tout fonctionnait parfaitement sur mon Huawei P8 lite 2017 avant la dernière MAJ. Garmin, pourriez vous nous confirmer que vous travaillez à un correctif, au vu du nombre incalculable de  commentaires identiques ? Votre absence de réaction est inquiétante.",0,1,0,0,dataset_apia2022,1
#1 pour la nouvelle interface. Je rajouterais dans l'appli les objectifs. On la sur le site web puis sa serais le fun de le rajouter. Merci,1,0,1,1,dataset_apia2022,1
"Une catastrophe depuis que j'ai commencé à utiliser la dernière vivoactive 3 et l'application en décembre 2018. Impossibilité de synchroniser mon portable Huawei P9, non prise en compte des dernières données sur l'application installée sur mon pc...Et j'en passe. Je vais aller faire un échange cette semaine au magasin pour passer à la concurrence. J'estime avoir été assez indulgent compte tenu du prix. La note globale affichée 3,8 ne reflète à mon avis pas la réalité compte tenu des derniers commentaires depuis plusieurs mois. A fuir.",0,1,0,0,dataset_apia2022,1
Marche,1,0,0,0,dataset_apia2022,1
Top ça me motive pour continuer ma vie sportive,1,0,0,1,dataset_apia2022,1
"Montre vivo smart 3 acquise le 20 mai..j aurais du.lire les avis avant..gros gros.problemes de connexion bluetooth..elle ne arrête pas de vibrer ...connexion.. déconnexion...toutes les deux secondes...à côté de mon téléphone... évidemment dès que je m éloigné elle perd la connexion, normal, mais incapable de retrouver le.bluethooth ensuite. Je vais donc demander remboursement. Très déçue.",1,1,0,0,dataset_apia2022,1
Ne fonctionne plus,1,0,0,0,dataset_apia2022,1
Je vous lis et moi je ne rencontre aucun problème avec mon Honor 8 et la forerunner 920XT,0,0,0,1,dataset_apia2022,1
Heureusement que LG a fait une mise à jour vers kitkat pour pouvoir enfin en profiter pleinement.... mais tout de même..,0,0,0,1,dataset_apia2022,1
top,1,0,0,0,dataset_apia2022,1
Impossible de connecter la montre au bout de 3 jours. J'ai du désinstallé l'application et la réinstaller. Sinon c'est une bonne application.,1,1,0,0,dataset_apia2022,1
Tres bien. Elle manque de rapports sur la durée total des activités et par activité,1,0,1,0,dataset_apia2022,1
C'est surtout la connexion permanente avec la GARMIN 735XT qui est TOP,0,0,0,1,dataset_apia2022,1
Parfait sur tout les points...,1,0,0,0,dataset_apia2022,1
"Impossible de rentrer les informations de poids comme avant, ne s adresse pas à tous les équipements garmin comme ceux bluetooth",0,1,0,0,dataset_apia2022,1
Si sa fonctionne suite à la mise a jour sa à déconné  je les effacés et réinstaller et sa fonctionne nickel,0,1,0,1,dataset_apia2022,1
Ouf c est reparti avec l application. C est qu'on devient accro de ces choses là !,1,0,0,0,dataset_apia2022,1
"Facile à utiliser, écrans clairs! Je recommande",1,0,0,1,dataset_apia2022,1
Depuis maintenant 3 semaines je ne suis plus crédité de mes efforts avec une montre garmin HR plus stravia... Comme l'année dernière même époque en gros à chaque mise à jours fin d'année ça fais 2 fois... 🤔 Marre on dirait que c'est fait expret.. L'année dernière j'avais fait 50 euros remplies et après plusieurs demandes aussi avec l'aide du responsable go sport ales 30100. On m'a fait saute 30 euros.... Et la déjà 3 ou 4 sorties non créditées. Ma cagnotte reste bloquée..😤😤,0,1,0,0,dataset_apia2022,1
"Fonctionne très bien, synchro avec fenix ok. Encore quelques bugs qui font qu'il vaut mieux compléter les activités depuis un ordi que depuis le tel. Sinon très bien.",0,1,0,0,dataset_apia2022,1
Depuis mise à jour pas possible de synchroniser. Pouvez vous debugger svp. Merci par avance.,0,1,0,0,dataset_apia2022,1
"Rien à redire C'est des superbe montres et votre application est superbe ils y a tout ce qu'il faut étages, sommeil et les fréquences cardiaques, je suis super content.",1,0,0,1,dataset_apia2022,1
Problème de synchronisation,0,1,0,0,dataset_apia2022,1
"En cours de teste séance musculation , cardio "" elliptique, tapis de course .. a voir à la fin le totale des kcal brûler ..",0,0,0,1,dataset_apia2022,1
super,1,0,0,0,dataset_apia2022,1
Jusque maintenant l'appli était parfaite...mais depuis le dernière mise à jour impossible d'anvoyer un parcours sur la montre via mon Honor 10....il serait bon de regler ce problème rapidement...,1,1,0,0,dataset_apia2022,1
Comment avoir un suivi d'activité sérieux quand l'application ne se synchronise pas avec la montre même en tentant plusieurs fois cela prend un temps fou quand cela veut bien fonctionné,0,1,0,0,dataset_apia2022,1
